Date,Open Price,High Price,Low Price,Close Price,Average Price=(O+H+L+C)/4,Volume,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
25-Oct-18,1987,2003.25,1962.3,1969.55,1973.606972205397402247,89154,2676,175954956,36592,41.04,40.95,-17.45
26-Oct-18,1977,1977.25,1948.4,1962.25,1961.968076227569898455,100646,4005,197464239,46456,46.16,28.85,-14.75
29-Oct-18,1963,1963.1,1895.25,1924,1913.875057644907370597,251540,8181,481416132,106423,42.31,67.85,-39
30-Oct-18,1929,1930.55,1899.25,1913.9,1916.809307341512600165,413566,6021,792727158,323926,78.33,31.3,-15.1
31-Oct-18,1906.1,1916.65,1884.4,1911.85,1896.220513544950753699,2874023,11401,5449781369,2671518,92.95,32.25,5.75
01-Nov-18,1925,1929.95,1896.8,1911.2,1912.632232257724580345,227747,6495,435596253,153535,67.41,33.15,-13.8
02-Nov-18,1925,1960,1912.25,1946.9,1938.802307656297799468,1837102,7540,3561777597,1708191,92.98,47.75,21.9
05-Nov-18,1955,1958.9,1937.15,1952.85,1950.742069655128396059,94006,3091,183381459,21557,22.93,21.75,-2.15
06-Nov-18,1957,1976,1947,1950.95,1962.119455552702058186,81771,2883,160444470,22818,27.9,29,-6.05
07-Nov-18,1960,1964.4,1954,1958.45,1958.164640324214792299,21714,1291,42519587,13295,61.23,10.4,-1.55
09-Nov-18,1958,1959,1940,1949.65,1949.489566052562647341,45812,1929,89310016,17862,38.99,19,-8.35
12-Nov-18,1950,1961.2,1919.55,1923.35,1935.348376248029427220,47575,2415,92074199,18608,39.11,41.65,-26.65
13-Nov-18,1939.7,1939.7,1910.3,1929.2,1920.847808854638154963,213199,2810,409522832,171473,80.43,29.4,-10.5
14-Nov-18,1939.75,1963.65,1936,1958.45,1948.481777581738986601,90685,3516,176698070,48509,53.49,27.65,18.7
15-Nov-18,1970,1976,1958.45,1974.05,1970.519941260110486935,85802,3363,169074552,37840,44.1,17.55,4.05
16-Nov-18,1982.9,2010,1980,1998.9,1999.814728058711169196,99470,4135,198921571,31183,31.35,30,16
19-Nov-18,2010,2020,2003.65,2014,2013.961969717035271266,90612,3920,182489122,39006,43.05,16.35,4
20-Nov-18,2019.7,2019.7,2000,2015.25,2012.104602817452553316,40888,1699,82270933,11072,27.08,19.7,-4.45
21-Nov-18,2020,2023.9,2001,2019.55,2016.058321657325860688,39968,1377,80577819,13436,33.62,22.9,-0.45
22-Nov-18,2013,2034.9,2000.25,2005.45,2020.234780898760116743,96622,3265,195199125,40605,42.02,34.65,-7.55
26-Nov-18,2017,2053,2009.95,2049.5,2036.420867082035306334,385200,3551,784429318,332776,86.39,43.05,32.5
27-Nov-18,2041,2064,2040.85,2058.95,2050.430218103319934494,268680,3786,550909591,228722,85.13,23.15,17.95
28-Nov-18,2067.6,2097.1,2063,2084.65,2084.634925359106502294,63839,2503,133081009,23784,37.26,34.1,17.05
29-Nov-18,2097,2137.5,2096,2130,2121.397758309573522757,917165,4671,1945671775,831971,90.71,41.5,33
30-Nov-18,2135,2136.95,2111.05,2117.15,2118.584514181441348081,221945,2589,470209240,170000,76.6,25.9,-17.85
03-Dec-18,2122.25,2140.7,2107.3,2113.45,2125.177553558194910737,557291,2640,1184342324,304661,54.67,33.4,-8.8
04-Dec-18,2114,2114,2082,2088.75,2089.201740745540149453,46302,2086,96734219,13682,29.55,32,-25.25
05-Dec-18,2081.75,2107,2076.2,2099.45,2096.340051077716163968,169154,5457,354604305,45065,26.64,30.8,17.7
06-Dec-18,2086,2099.95,2085,2094.1,2092.287794491379902465,72795,4188,152308090,35369,48.59,14.95,8.1
07-Dec-18,2100,2116.9,2081,2105.65,2099.612663129573285725,79538,3024,166998992,28867,36.29,35.9,5.65
10-Dec-18,2070,2103.7,2069.1,2089.15,2087.547769933782082854,91365,5730,190728802,42046,46.02,34.6,19.15
11-Dec-18,2060,2070.7,2032.15,2060.8,2051.084327032038734933,155312,9562,318558009,59779,38.49,38.55,0.8
12-Dec-18,2065,2090,2060.3,2085.35,2078.753313006914967816,50181,1772,104313920,14242,28.38,29.7,20.35
13-Dec-18,2090,2123.9,2090,2101.05,2105.441871049304677623,59325,2501,124905339,14140,23.83,33.9,11.05
14-Dec-18,2111.7,2117.65,2087,2093.75,2096.983057495888840275,66283,2087,138994328,13395,20.21,30.65,-17.95
17-Dec-18,2109,2133.35,2099.2,2130.45,2122.473161150937837572,101830,3485,216131442,46966,46.12,34.15,21.45
18-Dec-18,2129,2140,2103,2136.45,2121.856278326818435645,77003,3100,163389299,27789,36.09,37,7.45
19-Dec-18,2139,2158.15,2114.4,2122.65,2130.090056861841094206,78084,3828,166325952,32231,41.28,43.75,-16.35
20-Dec-18,2118,2137.95,2102.75,2133.95,2120.721534629935930340,52599,2420,111547832,12504,23.77,35.2,15.95
21-Dec-18,2134,2149,2108,2111.5,2125.438051641647945707,106387,3994,226118978,38551,36.24,41,-22.5
24-Dec-18,2110,2110,2079.1,2084.05,2088.962223771461923831,61679,2323,128845101,13827,22.42,30.9,-25.95
26-Dec-18,2084.9,2128,2070.6,2120.2,2099.222765595352203595,102242,4242,214628734,23242,22.73,57.4,35.3
27-Dec-18,2139.8,2139.8,2101.3,2106.1,2117.404157472999651608,86110,3283,182329672,22829,26.51,38.5,-33.7
28-Dec-18,2114.1,2137,2114.1,2122.9,2125.349867448025673224,57336,2367,121859060,17234,30.06,22.9,8.8
31-Dec-18,2137,2142,2117,2122.45,2124.330975068061326837,55832,2837,118605647,29186,52.27,25,-14.55
01-Jan-19,2123,2150,2107,2147.45,2125.362548155208705667,125895,2433,267572518,81595,64.81,43,24.45
02-Jan-19,2145,2147.95,2120.1,2125.95,2131.336674166496215995,92891,2946,197981995,29543,31.8,27.85,-19.05
03-Jan-19,2126,2126.8,2105.9,2112.25,2113.291653693291085917,109198,2883,230767222,69478,63.63,20.9,-13.75
04-Jan-19,2111.15,2127,2111.15,2117.75,2120.163498802957554594,75603,2286,160290721,15878,21,15.85,6.6
07-Jan-19,2125.05,2134,2114.2,2120,2127.177202865289658529,57516,1920,122346724,17610,30.62,19.8,-5.05
08-Jan-19,2125,2128,2097.6,2102.85,2105.847423864805017927,107933,3598,227290430,63543,58.87,30.4,-22.15
09-Jan-19,2120,2123,2103,2116.2,2112.399581950609834935,46406,1769,98028015,22291,48.03,20,-3.8
10-Jan-19,2116,2123.15,2103.5,2109.55,2113.691321328586734870,57866,1884,122310862,22315,38.56,19.65,-6.45
11-Jan-19,2114,2124,2107,2112.15,2115.460850903781057103,45199,1921,95616715,13222,29.25,17,-1.85
14-Jan-19,2114.55,2114.55,2097,2100.85,2102.649004436947673352,27271,1814,57341341,12918,47.37,17.55,-13.7
15-Jan-19,2105,2126,2100.05,2121.05,2119.206594578129759366,65660,1982,139147105,24670,37.57,25.95,16.05
16-Jan-19,2120,2124,2108.9,2120,2119.989336132876437205,2892853,2428,6132817511,2854400,98.67,15.1,0
17-Jan-19,2121,2134.85,2114,2129.05,2122.309298044527803827,172746,1989,366620442,143092,82.83,20.85,8.05
18-Jan-19,2126,2139.75,2115,2131.2,2129.783315771685321775,50299,1618,107125971,15116,30.05,24.75,5.2
21-Jan-19,2149,2165,2125.55,2146.55,2149.923079054713132925,180432,6386,387914921,41972,23.26,39.45,-2.45
22-Jan-19,2173,2173,2130,2134.35,2137.245908759520374765,64467,2511,137781832,24188,37.52,43,-38.65
23-Jan-19,2136.1,2150.05,2102.4,2109.75,2125.755134201535532834,79321,3032,168617023,38098,48.03,47.65,-26.35
24-Jan-19,2112,2121.65,2097,2101.9,2110.326857683099772793,131158,6546,276786250,70850,54.02,24.65,-10.1
25-Jan-19,2103.9,2109.75,2090.1,2093.95,2102.278132240550541204,115668,4480,243166307,54090,46.76,19.65,-9.95
28-Jan-19,2099,2100.9,2077.25,2083.55,2094.865499265775351009,715721,4830,1499339230,44141,6.17,23.65,-15.45
29-Jan-19,2084,2084,2053.8,2058.1,2066.772260684474729936,137653,5124,284497402,69072,50.18,30.2,-25.9
30-Jan-19,2076,2076,2028,2032.55,2035.096444475208232389,130023,6290,264609345,73454,56.49,48,-43.45
31-Jan-19,2039,2090,2023,2081.15,2063.340043198248399790,101393,4475,209208237,26393,26.03,67,42.15
01-Feb-19,2082,2117,2078,2091.65,2102.306079952267303102,167600,4320,352346499,83388,49.75,39,9.65
04-Feb-19,2099,2113,2083,2107,2099.333831091258505168,77012,2769,161673897,30113,39.1,30,8
05-Feb-19,2109,2119,2097.25,2114.9,2112.242093413685017516,103047,4783,217660211,71607,69.49,21.75,5.9
06-Feb-19,2120,2125.2,2113.95,2123,2121.653722133002870474,79081,4319,167782498,41070,51.93,11.25,3
07-Feb-19,2127,2130,2109,2117.05,2122.903766940225764864,63606,3360,135029417,25929,40.77,21,-9.95
